x, y
cm-1, Jy
wavenumber, intensity
614.675375, 1.544431e+04
614.769846, 1.527677e+04
614.864346, 1.511281e+04
614.958875, 1.495234e+04
615.053433, 1.479527e+04
615.148020, 1.464150e+04
615.242636, 1.449096e+04
615.337282, 1.434356e+04
615.431956, 1.419921e+04
615.526660, 1.405783e+04
615.621393, 1.391935e+04
615.716155, 1.378368e+04
615.810946, 1.365075e+04
615.905766, 1.352049e+04
616.000616, 1.339282e+04
616.095495, 1.326769e+04
616.190403, 1.314501e+04
616.285340, 1.302472e+04
616.380307, 1.290677e+04
616.475302, 1.279109e+04
616.570328, 1.267761e+04
616.665382, 1.256629e+04
616.760466, 1.245705e+04
616.855579, 1.234986e+04
616.950721, 1.224466e+04
617.045893, 1.214138e+04
617.141094, 1.203999e+04
617.236324, 1.194044e+04
617.331584, 1.184267e+04
617.426874, 1.174665e+04
617.522192, 1.165232e+04
617.617540, 1.155964e+04
617.712918, 1.146858e+04
617.808325, 1.137909e+04
617.903761, 1.129113e+04
617.999228, 1.120466e+04
618.094723, 1.111965e+04
618.190248, 1.103606e+04
618.285803, 1.095385e+04
618.381387, 1.087299e+04
618.477000, 1.079346e+04
618.572644, 1.071521e+04
618.668316, 1.063821e+04
618.764019, 1.056244e+04
618.859751, 1.048786e+04
618.955513, 1.041446e+04
619.051304, 1.034219e+04
619.147125, 1.027104e+04
619.242975, 1.020097e+04
619.338856, 1.013197e+04
619.434766, 1.006400e+04
619.530705, 9.997047e+03
619.626675, 9.931085e+03
619.722674, 9.866092e+03
619.818703, 9.802046e+03
619.914762, 9.738926e+03
620.010850, 9.676710e+03
620.106968, 9.615380e+03
620.203117, 9.554916e+03
620.299294, 9.495298e+03
620.395502, 9.436509e+03
620.491740, 9.378531e+03
620.588007, 9.321347e+03
620.684304, 9.264939e+03
620.780632, 9.209291e+03
620.876989, 9.154388e+03
620.973376, 9.100214e+03
621.069793, 9.046754e+03
621.166240, 8.993993e+03
621.262716, 8.941916e+03
621.359223, 8.890511e+03
621.455760, 8.839763e+03
621.552327, 8.789660e+03
621.648924, 8.740189e+03
621.745551, 8.691336e+03
